[15:21:12] [ServerMain/INFO]: Building unoptimized datafixer
[15:21:15] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[15:21:20] [ServerMain/INFO]: Loaded 7 recipes
[15:21:20] [ServerMain/INFO]: Loaded 1179 advancements
[15:21:21] [Server thread/INFO]: Starting minecraft server version 1.19.3
[15:21:21] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[15:21:21] [Server thread/INFO]: Loading properties
[15:21:21] [Server thread/INFO]: Default game type: SURVIVAL
[15:21:21] [Server thread/INFO]: Generating keypair
[15:21:21] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:21:22] [Server thread/INFO]: Using epoll channel type
[15:21:22] [Server thread/INFO]: Preparing level "world"
[15:23:21] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:21] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:22] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:22] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:23] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:24] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:24] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:24] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:25] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:26] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:26] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:26] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:27] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:28] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:28] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:28] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:29] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:29] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:30] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:30] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:31] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:31] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:32] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:32] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:33] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:33] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:34] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:34] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:35] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:35] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:36] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:37] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:37] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:37] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:38] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:39] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:39] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:39] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:40] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:41] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:41] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:41] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:42] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:43] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:43] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:43] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:44] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:44] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:45] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:45] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:46] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:46] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:47] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:47] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:48] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:48] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:49] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:49] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:50] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:50] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:51] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:51] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:52] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:52] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:53] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:53] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:54] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:54] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:55] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:56] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:56] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:56] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:57] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:57] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:58] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:58] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:59] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:23:59] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:00] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:01] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:01] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:01] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:02] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:02] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:03] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:03] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:04] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:04] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:05] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:06] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:06] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:06] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:07] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:07] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:08] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:08] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:09] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:09] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:10] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:10] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:11] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:12] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:12] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:12] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:13] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:14] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:14] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:14] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:15] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:15] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:16] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:16] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:17] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:17] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:18] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:18] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:19] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:19] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:20] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:20] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:21] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:21] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:22] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:22] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:23] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:24] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:24] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:24] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:25] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:25] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:26] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:26] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:27] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:27] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:28] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:28] [Worker-Main-7/INFO]: Preparing spawn area: 19%
[15:24:33] [Worker-Main-7/INFO]: Preparing spawn area: 21%
[15:24:33] [Worker-Main-7/INFO]: Preparing spawn area: 21%
[15:24:33] [Worker-Main-7/INFO]: Preparing spawn area: 21%
[15:24:33] [Worker-Main-7/INFO]: Preparing spawn area: 21%
[15:24:33] [Worker-Main-7/INFO]: Preparing spawn area: 21%
[15:24:33] [Worker-Main-7/INFO]: Preparing spawn area: 21%
[15:24:33] [Worker-Main-7/INFO]: Preparing spawn area: 21%
[15:24:33] [Worker-Main-7/INFO]: Preparing spawn area: 21%
[15:24:33] [Worker-Main-7/INFO]: Preparing spawn area: 21%
[15:24:33] [Worker-Main-7/INFO]: Preparing spawn area: 47%
[15:24:35] [Worker-Main-7/INFO]: Preparing spawn area: 47%
[15:24:35] [Worker-Main-7/INFO]: Preparing spawn area: 47%
[15:24:35] [Worker-Main-7/INFO]: Preparing spawn area: 47%
[15:24:36] [Worker-Main-7/INFO]: Preparing spawn area: 54%
[15:24:36] [Worker-Main-7/INFO]: Preparing spawn area: 54%
[15:24:36] [Worker-Main-7/INFO]: Preparing spawn area: 54%
[15:24:37] [Worker-Main-7/INFO]: Preparing spawn area: 59%
[15:24:37] [Worker-Main-7/INFO]: Preparing spawn area: 60%
[15:24:38] [Worker-Main-7/INFO]: Preparing spawn area: 62%
[15:24:39] [Worker-Main-7/INFO]: Preparing spawn area: 64%
[15:24:39] [Worker-Main-7/INFO]: Preparing spawn area: 64%
[15:24:39] [Worker-Main-7/INFO]: Preparing spawn area: 64%
[15:24:42] [Worker-Main-7/INFO]: Preparing spawn area: 72%
[15:24:42] [Worker-Main-7/INFO]: Preparing spawn area: 72%
[15:24:42] [Worker-Main-7/INFO]: Preparing spawn area: 72%
[15:24:42] [Worker-Main-7/INFO]: Preparing spawn area: 72%
[15:24:42] [Worker-Main-7/INFO]: Preparing spawn area: 72%
[15:24:45] [Worker-Main-7/INFO]: Preparing spawn area: 83%
[15:24:45] [Worker-Main-7/INFO]: Preparing spawn area: 83%
[15:24:45] [Worker-Main-7/INFO]: Preparing spawn area: 83%
[15:24:45] [Worker-Main-7/INFO]: Preparing spawn area: 83%
[15:24:45] [Worker-Main-7/INFO]: Preparing spawn area: 83%
[15:24:45] [Worker-Main-7/INFO]: Preparing spawn area: 83%
[15:24:45] [Worker-Main-7/INFO]: Preparing spawn area: 96%
[15:24:51] [Server thread/INFO]: Time elapsed: 187988 ms
[15:24:51] [Server thread/INFO]: Done (209.278s)! For help, type "help"
[15:34:01] [Server thread/INFO]: Unknown or incomplete command, see below for error
[15:34:01] [Server thread/INFO]: <--[HERE]
[15:34:07] [Server thread/INFO]: Unknown or incomplete command, see below for error
[15:34:07] [Server thread/INFO]: exit<--[HERE]
[15:34:13] [Server thread/INFO]: Unknown or incomplete command, see below for error
[15:34:13] [Server thread/INFO]: quit<--[HERE]
